num_inspected_publications,num_citations
0,0
20,0
30,0
56,0
309,1
1353,4
2486,4
3258,4
3598,4
4186,4
4217,4
5600,4
5916,4
6555,4
7479,4
7862,4
8658,4
9526,4
10736,4
10906,4
11406,4
11637,4
12451,4
13377,4
14047,4
15085,4
15727,4
16013,4
16640,4
17150,4
17471,4
18414,4
19302,4
21284,4
22135,4
22708,4
22714,4
23540,4
24759,4
25509,4
27127,4
28612,4
29376,4
30368,4
30389,4
31031,4
31873,4
32865,4
33802,4
34563,4
35413,4
36740,4
37759,4
39095,4
39905,4
40584,4
40600,4
40928,4
41188,4
41248,4
42909,4
43677,4
43695,4
43842,4
44110,4
45583,4
45840,4
46905,4
47834,4
48328,4
49240,4
49505,4
51034,4
51383,4
51385,4
51988,4
52757,4
53731,4
54794,4
55559,4
56019,4
56554,4
57068,5
57340,5
58567,5
59424,5
60319,5
61764,5
62513,5
63959,5
64463,5
64521,6
64785,6
66892,6
67154,6
68765,6
69806,6
71144,6
71999,6
72283,6
74413,6
75036,6
75759,6
76124,6
76924,6
76926,6
77658,6
78268,6
78544,6
78798,6
80429,6
81566,6
82861,7
83290,7
83598,7
83877,7
84846,7
85982,7
86143,7
86693,7
87385,7
88069,7
88932,7
89349,7
89359,7
90193,7
90521,7
90963,7
91960,7
92753,7
93313,7
94099,7
94126,7
94336,7
94340,7
95188,7
95629,7
96539,7
97253,7
97924,7
98913,7
100336,7
101063,7
101978,7
102281,7
103503,7
103620,7
104138,7
105649,7
106449,7
107338,7
108471,7
108713,7
109677,7
110183,7
111007,7
111476,7
111542,7
112933,7
113809,7
114406,7
114856,7
115754,7
116281,7
117224,7
118017,7
118264,7
119085,7
119378,7
120212,8
121206,8
121865,8
122928,8
123313,8
123831,8
125473,8
126279,8
126962,8
127507,8
128268,8
129176,8
130239,8
131158,8
131845,8
132643,8
133444,8
134020,8
134473,8
135275,8
136129,8
136921,8
137220,8
138029,8
138786,8
139607,8
140146,8
140787,8
141480,8
142061,8
142315,8
142761,8
143334,8
143950,8
144135,8
145388,8
146127,8
146877,8
147221,8
147978,8
148772,8
148937,8
149218,8
149817,8
151150,8
151853,8
152768,8
153125,8
153499,8
154470,8
155201,8
155562,8
155876,11
156134,11
157137,11
157231,11
157799,11
158636,11
159429,11
160711,11
161460,11
162271,11
163178,11
164602,11
164922,11
166070,11
166072,11
167523,11
167933,11
168167,11
168965,11
169692,11
170657,11
171499,11
172315,11
173267,11
174296,11
174572,11
175474,11
176569,11
176870,11
177688,11
178479,11
179478,11
179884,11
180634,11
181311,11
181423,11
181696,11
182441,11
185152,11
185842,11
186622,11
187663,11
188649,11
189197,11
189472,11
190344,12
190853,12
191383,12
191635,12
192132,12
193580,12
194319,12
195481,12
196023,12
196772,12
197532,12
199489,12
200154,12
201281,12
202409,12
202724,12
203895,12
204174,12
205314,12
206110,12
206164,12
206997,12
207805,12
207930,12
208607,12
209684,12
209926,12
210625,12
211354,12
212329,12
212610,12
212944,13
213786,13
214489,13
214948,13
215789,13
217893,13
218980,13
219698,13
220518,13
222355,13
223134,13
223838,13
224867,13
225664,13
226475,13
226993,13
227373,13
228702,13
229842,13
230802,13
231950,13
232416,13
233154,13
233668,13
234478,13
235344,13
237060,13
237910,13
238588,13
239644,13
240185,13
240960,13
241998,13
242873,13
243351,13
244805,13
246315,14
247377,14
248187,14
249071,14
249910,14
250969,14
251812,14
252870,14
253206,14
254109,14
255629,14
256544,14
257237,14
257863,14
258092,14
259095,14
259390,14
259511,14
259994,14
262107,14
262818,14
264476,14
265684,14
266279,14
267218,14
267350,14
267943,14
269171,14
270201,14
271779,14
271804,14
272495,14
272677,14
273406,14
274348,14
275683,15
276122,15
276895,15
277685,15
279595,15
280283,15
281007,15
281745,15
282032,15
282759,15
283417,15
284514,15
284769,15
285328,15
285937,15
286276,15
287078,15
288238,15
289064,15
290805,15
291149,15
291388,15
292107,15
292828,15
293392,15
293744,15
294551,15
295932,15
296847,15
298354,15
298928,15
299681,15
302179,15
302989,15
303516,15
304431,15
304889,15
304954,15
305063,15
305344,15
306967,15
308381,15
309226,15
310043,15
311237,15
312050,15
313565,15
314443,15
315296,15
316417,15
317046,15
318103,15
319352,15
320142,15
320889,15
321430,15
322197,15
322613,15
323378,15
324356,15
324732,15
325816,15
326843,15
327776,15
328510,15
329652,15
330451,15
331469,15
332071,15
332640,15
333466,15
334159,15
335879,15
336819,15
338081,15
338878,15
340320,15
341356,15
342294,15
343234,15
344027,15
345008,15
346000,15
346879,15
347386,15
347481,15
348091,15
348703,15
349318,15
350768,15
351561,15
352350,15
