author_id,author_num_citations,author_num_publications,num_inspected_publications,num_citations
1827493828,632,12,0,0
136702084,9904,234,1973,2
1788919128,2,29,0,0
1857642308,222,48,0,0
723861092,49,30,0,0
490083078,920,55,0,0
1593916528,74,35,0,0
1885602469,14,19,4711,1
1860570626,0,54,0,0
293093246,888,64,0,0
278033781,6107,300,0,0
50559857,73,22,0,0
1842981905,1761,87,0,0
1878062382,257,42,0,0
1861583621,2251,19,0,0
1417008787,29,14,0,0
1884248971,265,59,0,0
1753278152,258,20,0,0
1805159832,43,11,0,0
1841366217,40,17,0,0
1843042359,1405,71,0,0
1271484857,1150,14,0,0
1836422080,126,19,0,0
252520937,107,20,0,0
1833466610,308,35,0,0
1590775848,25,23,0,0
715186309,61,13,0,0
357129921,31,11,0,0
327283673,0,19,0,0
1408143206,115,17,0,0
695495226,135,23,0,0
692137639,250,21,0,0
576222461,2530,23,3054,1
1824856986,47,12,0,0
332675965,0,10,0,0
975528716,492,75,0,0
1754460160,76,16,0,0
1887606563,80,18,0,0
1825053086,351,11,0,0
418903730,2,10,0,0
1724373719,2,30,0,0
1436172473,103,12,0,0
1797903522,1365,38,0,0
1863784261,0,14,0,0
1876821740,144,15,0,0
1260848431,1419,62,0,0
1252247341,234,13,0,0
1569084648,1,14,0,0
1477640514,0,12,0,0
1875449004,10,10,0,0
1223903766,1374,31,0,0
156913157,93,12,0,0
1395262218,13,12,0,0
1863823913,775,51,0,0
1455414905,5723,193,0,0
1569767410,202,11,0,0
1836952405,64,23,0,0
367862490,199,16,0,0
1258432641,477,12,0,0
1829935768,456,16,0,0
129887099,14,30,0,0
1873504428,94,20,0,0
1878572291,26,19,0,0
1863838745,15,10,0,0
1890762594,29,20,0,0
1541155934,73,10,0,0
1539414096,67,42,0,0
785471131,1538,17,0,0
1831169414,2529,45,0,0
1764696831,1121,22,0,0
1750451099,52,29,0,0
394991857,3476,64,0,0
1794030664,879,49,2634,0
1829075699,124,10,0,0
301054722,528,13,0,0
1832093937,291,10,0,0
228921263,0,66,0,0
666452261,9,13,0,0
1871095470,50,10,0,0
1865575558,144,12,0,0
1446304105,0,41,0,0
1263174310,36,12,0,0
1867336751,79,11,0,0
1651567233,208,37,0,0
1880087218,8,10,0,0
1887724457,0,10,0,0
1862859034,6,10,0,0
1824940753,6,16,0,0
234413770,0,13,0,0
1843137586,125,46,0,0
1837673799,213,36,0,0
922411746,370,10,0,0
1824009707,5,11,16960,0
375214755,19,22,0,0
1276773062,409,14,0,0
1858734327,374,15,0,0
1850621089,36,10,0,0
1856862754,903,13,0,0
1796281428,16,10,0,0
1766757029,824,21,0,0
